image,transcription,transliteration,length
h_img_00260.png,ꦱꦔꦤꦒꦭꦚ,sanganagalanya,6
h_img_00032.png,ꦔꦥ,ngapa,2
h_img_00152.png,ꦮꦧꦲꦒꦠꦕ,wabahagataca,6
h_img_00063.png,ꦔꦕ,ngaca,2
h_img_00059.png,ꦤꦛꦧ,nathaba,3
h_img_00281.png,ꦮꦲꦢꦮꦭꦥ,wahadawalapa,6
h_img_00002.png,ꦕꦛꦪꦤꦲꦕ,cathayanahaca,6
h_img_00331.png,ꦤꦪꦝꦱꦚ,nayadhasanya,5
h_img_00253.png,ꦠꦱꦥꦏꦔꦲ,tasapakangaha,6
h_img_00202.png,ꦧꦏꦗꦠꦔ,bakajatanga,5
h_img_00290.png,ꦫꦭꦛꦩꦒ,ralathamaga,5
h_img_00172.png,ꦭꦛꦪꦭꦛ,lathayalatha,5
h_img_00251.png,ꦔꦲꦤ,ngahana,3
h_img_00010.png,ꦧꦫꦗꦕꦧ,barajacaba,5
h_img_00334.png,ꦗꦒꦒꦪ,jagagaya,4
h_img_00016.png,ꦧꦱꦢ,basada,3
h_img_00353.png,ꦒꦧꦲꦗꦩꦤ,gabahajamana,6
h_img_00191.png,ꦩꦭꦗꦧꦤ,malajabana,5
h_img_00380.png,ꦫꦮꦮꦚꦠꦔ,rawawanyatanga,6
h_img_00326.png,ꦝꦲꦝꦭꦢꦠ,dhahadhaladata,6
h_img_00077.png,ꦤꦕꦪꦮ,nacayawa,4
h_img_00280.png,ꦧꦔꦔꦧꦲ,bangangabaha,5
h_img_00058.png,ꦧꦩꦏꦠꦭ,bamakatala,5
h_img_00226.png,ꦭꦪꦮꦚꦭꦠ,layawanyalata,6
h_img_00390.png,ꦝꦏꦧꦛꦢꦏ,dhakabathadaka,6
h_img_00130.png,ꦥꦠꦚꦥꦥ,patanyapapa,5
h_img_00227.png,ꦩꦫꦱꦗꦛ,marasajatha,5
h_img_00219.png,ꦝꦝꦪꦏ,dhadhayaka,4
h_img_00042.png,ꦛꦱꦲ,thasaha,3
h_img_00348.png,ꦒꦛ,gatha,2
h_img_00101.png,ꦠꦪꦗ,tayaja,3
h_img_00102.png,ꦔꦛꦭ,ngathala,3
h_img_00243.png,ꦪꦫꦏꦤ,yarakana,4
h_img_00328.png,ꦕꦭꦫ,calara,3
h_img_00173.png,ꦤꦔꦫꦠꦠꦮ,nangaratatawa,6
h_img_00237.png,ꦚꦕ,nyaca,2
h_img_00351.png,ꦛꦪꦢ,thayada,3
h_img_00119.png,ꦗꦏꦠ,jakata,3
h_img_00238.png,ꦱꦗꦧ,sajaba,3
h_img_00082.png,ꦤꦭꦝ,naladha,3
h_img_00309.png,ꦛꦛꦚꦛꦔ,thathanyathanga,5
h_img_00220.png,ꦒꦪꦛ,gayatha,3
h_img_00300.png,ꦲꦥꦢꦔꦚ,hapadanganya,5
h_img_00272.png,ꦕꦪ,caya,2
h_img_00081.png,ꦤꦝꦛꦧꦏꦪ,nadhathabakaya,6
h_img_00345.png,ꦪꦫꦭꦱꦭꦫ,yaralasalara,6
h_img_00386.png,ꦛꦝꦚꦧꦏꦔ,thadhanyabakanga,6
h_img_00374.png,ꦕꦱꦝ,casadha,3
h_img_00250.png,ꦤꦗꦮꦠ,najawata,4
h_img_00072.png,ꦭꦢꦚꦧ,ladanyaba,4
